"2019-04-26,04:23:00",0.30746666666666667,0.07333333333333333,0,3,5
"2019-04-26,04:24:00",0.0936,0.042666666666666665,0,2,3
"2019-04-26,04:25:00",0.21493333333333334,0.0136,0,2,3
"2019-04-26,04:26:00",0.0656,0.0136,0,1,2
"2019-04-26,04:27:00",0.20693333333333333,0.0584,0,3,3
"2019-04-26,04:28:00",0.3101333333333333,0.0584,0,2,4
"2019-04-26,04:29:00",0.05466666666666667,0.06653333333333333,0,3,4
"2019-04-26,04:30:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,04:31:00",0.0656,0.0136,0,1,2
"2019-04-26,04:32:00",0.10373333333333333,0.0112,0,2,3
"2019-04-26,04:33:00",0.3154666666666667,0.06506666666666666,0,3,5
"2019-04-26,04:34:00",11.930666666666667,1.4486666666666668,0,3,3
"2019-04-26,04:35:00",0.0656,0.0136,0,1,2
"2019-04-26,04:36:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,04:37:00",0.22746666666666668,0.056,0,3,4
"2019-04-26,04:38:00",0.34426666666666667,0.08986666666666666,0,4,6
"2019-04-26,04:39:00",0.0,0.026266666666666667,0,0,0
"2019-04-26,04:40:00",0.0656,0.0136,0,1,2
"2019-04-26,04:41:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,04:42:00",0.4130666666666667,0.040266666666666666,0,4,6
"2019-04-26,04:43:00",0.0061333333333333335,0.0136,0,1,1
"2019-04-26,04:44:00",0.0656,0.0136,0,1,2
"2019-04-26,04:45:00",0.0,0.0,0,0,0
"2019-04-26,04:46:00",0.16026666666666667,0.0496,0,2,3
"2019-04-26,04:47:00",0.39093333333333335,0.07386666666666666,0,4,5
"2019-04-26,04:48:00",0.0144,0.0336,0,2,2
"2019-04-26,04:49:00",0.0656,0.028666666666666667,0,1,2
"2019-04-26,04:50:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,04:51:00",0.09973333333333333,0.042666666666666665,0,2,4
"2019-04-26,04:52:00",0.38506666666666667,0.0136,0,3,6
"2019-04-26,04:53:00",0.026133333333333335,0.05973333333333333,0,2,2
"2019-04-26,04:54:00",0.05946666666666667,0.0136,0,1,1
"2019-04-26,04:55:00",0.0061333333333333335,0.0,0,1,1
"2019-04-26,04:56:00",0.16373333333333334,0.07386666666666666,0,3,3
"2019-04-26,04:57:00",0.28186666666666665,0.0224,0,2,4
"2019-04-26,04:58:00",0.06666666666666667,0.0448,0,3,3
"2019-04-26,04:59:00",0.0,0.015066666666666667,0,0,0
"2019-04-26,05:00:00",0.040266666666666666,0.029066666666666668,0,2,3
"2019-04-26,05:01:00",0.22186666666666666,0.0,0,2,3
"2019-04-26,05:02:00",0.0776,0.0384,0,1,3
"2019-04-26,05:03:00",0.1512,0.0224,0,2,3
"2019-04-26,05:04:00",11.946933333333334,1.2606666666666666,0,3,3
"2019-04-26,05:05:00",0.09973333333333333,0.042666666666666665,0,2,4
"2019-04-26,05:06:00",0.13573333333333334,0.056,0,2,3
"2019-04-26,05:07:00",0.3184,0.0496,0,3,4
"2019-04-26,05:08:00",0.15733333333333333,0.036,0,2,4
"2019-04-26,05:09:00",0.040266666666666666,0.04413333333333333,0,2,3
"2019-04-26,05:10:00",0.4829333333333333,0.0136,0,2,2
"2019-04-26,05:11:00",0.2813333333333333,0.0136,0,2,4
"2019-04-26,05:12:00",0.07146666666666666,0.048,0,2,3
"2019-04-26,05:13:00",0.15733333333333333,0.036,0,2,4
"2019-04-26,05:14:00",0.040266666666666666,0.029066666666666668,0,2,3
"2019-04-26,05:15:00",0.17466666666666666,0.0584,0,2,3
"2019-04-26,05:16:00",0.3101333333333333,0.0384,0,2,4
"2019-04-26,05:17:00",0.020533333333333334,0.0224,0,2,3
"2019-04-26,05:18:00",0.19146666666666667,0.06506666666666666,0,3,5
"2019-04-26,05:19:00",0.05946666666666667,0.015066666666666667,0,1,1
"2019-04-26,05:20:00",0.0061333333333333335,0.0136,0,1,1
"2019-04-26,05:21:00",0.2813333333333333,0.0136,0,2,4
"2019-04-26,05:22:00",0.0776,0.0248,0,1,3
"2019-04-26,05:23:00",0.2176,0.08,0,4,6
"2019-04-26,05:24:00",0.0656,0.0136,0,1,2
